"","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83"
"102120_left_com1","0.232985496413818","0.234701273591797","0.203688727984375","0.151864011875","0.1479842955","0.192169060125","0.211989403","0.215706961625","0.1646216245","0.10207652525","0.095236343","0.141745075875","0.2048915115","0.273042993","0.37228271875","0.417008967875","0.41357872475","0.366758943375","0.306861587625","0.280543344625","0.244542807125","0.2662930215","0.257726348375","0.194441793625","0.201914695625","0.179856149875","0.145416204875","0.216687917625","0.34848632775","0.4529499705","0.516123301375","0.5121920955","0.438784581875","0.391841191625","0.3695741925","0.38062287325","0.375559812125","0.337041524","0.30211004425","0.237692258","0.17687962625","0.14789779375","0.1544645625","0.160503426625","0.134939236","0.133661719875","0.168965900625","0.176192093125","0.163929436625","0.12246984275","0.051876581875","0.024125618375","0.107347130875","0.224576252875","0.301363363375","0.339409014875","0.260764518375","0.152613584625","0.109689436125","0.153398845125","0.20957851775","0.2002198","0.166433045","0.080164421625","0.01429734425","0.01045059125","0.017284222625","0.04191951125","0.112761774375","0.169055750625","0.182102978","0.1725683545","0.11719736275","0.07993507525","0.07390638325","0.07746371675","0.08932524525","0.09854217803125"
"102120_left_com2","0.00761029468994141","0.00618426470703125","0.00522397515625","0.00245834125","9.4892e-05","0.000189784","0.004151971","0.01274276575","0.0244563225","0.033582697625","0.040851637125","0.041588485125","0.029950385875","0.02085397925","0.012570649","0.024904975375","0.06193159275","0.1248993665","0.1871712185","0.188961320625","0.1554024035","0.093013102375","0.027793454125","0.00472845025","0.001477467875","0.00077413475","0.0009865715","0.000811940875","0.00146993125","0.006481257125","0.0103002775","0.01015302975","0.010328305","0.006537312125","0.004549219125","0.007938496375","0.00859447325","0.007839348","0.00635935575","0.005406934125","0.0126579315","0.089789453625","0.210272911375","0.383409601","0.505086146875","0.437589173","0.365092343875","0.23905502225","0.11461545675","0.10808926","0.062095846125","0.0124944335","0.006227191","0.002797034","0.0002868045","0.0002868045","0.000218786125","0.000104410625","5.80535e-05","5.80535e-05","2.902675e-05","0.0055206395","0.0126481825","0.018327961","0.060290382","0.160832784625","0.2768430235","0.391889131625","0.455039386","0.39558696725","0.31186012575","0.2237828015","0.119561111375","0.073344302375","0.0343311705","0.003893575875","0.013371312125","0.023204474015625"
"102120_left_com3","0.289725571171875","0.276970034375","0.236945789","0.178377001","0.120027669875","0.180833228625","0.336207267875","0.43299613125","0.40965899875","0.30369821525","0.1399596845","0.036589924","0.025681718625","0.042176390375","0.064320988875","0.072551750375","0.134302463","0.212591350125","0.257539656875","0.292071772625","0.270413718875","0.2335331875","0.217509697875","0.2161400805","0.21055291325","0.161366680125","0.111117666875","0.067108992","0.031849967","0.043344483125","0.089393569875","0.200560022625","0.29398077525","0.40551592975","0.492899229375","0.403362892","0.350432278625","0.326176143375","0.270312795625","0.26379730875","0.2536726195","0.29086399","0.381632361875","0.41127386225","0.380849806375","0.236146554625","0.09665548575","0.088101882875","0.089857600875","0.088293042375","0.102946665375","0.111332649375","0.109026257625","0.1094621165","0.064226869","0.02358091225","0.024492870875","0.024155741125","0.028823672875","0.036917949125","0.06126252675","0.084727137375","0.088618309125","0.105313190125","0.104153179375","0.114446888375","0.160053978125","0.17274507175","0.203609216625","0.216289320875","0.176559867875","0.1996980725","0.206130587375","0.15501048425","0.138845681375","0.09255781475","0.04752464525","0.05491741540625"
"102120_left_com4","0.00150445744580078","0.00195845200390625","0.00245437353125","0.00220396025","0.00804693975","0.112643792625","0.28852195","0.4499695465","0.618166342875","0.727375423125","0.723270236875","0.648315325375","0.535042646375","0.354909515875","0.202232279625","0.1249862235","0.092742358125","0.08812977425","0.07987381975","0.080975746875","0.0550237845","0.027904318","0.0187639905","0.011189302875","0.0117451895","0.00987863725","0.011090839625","0.01789255875","0.02618985875","0.031508755375","0.028126810625","0.018482282625","0.007013968125","0.00061527375","7.34999999999972e-06","3.67499999999986e-06","5.991325e-05","0.004201819875","0.008706601125","0.009188269125","0.009367555375","0.01680794875","0.028696334","0.042514559375","0.05520828225","0.0472765845","0.031302071375","0.019756368875","0.01035691425","0.011161203875","0.015544802625","0.014898952875","0.011972307125","0.01318262775","0.0161581845","0.016239177625","0.017963440625","0.016791919","0.011803937875","0.015835496875","0.03261365375","0.06042651475","0.101784891875","0.13416529825","0.15659014","0.16443413925","0.138255814625","0.111384706625","0.083425831125","0.0586437225","0.0483894765","0.040170804625","0.034981512375","0.028001827","0.029928037125","0.042697236875","0.05322656875","0.06049533534375"
"102120_left_com5","0.0600733413032227","0.0650025051132813","0.05755077640625","0.06040776025","0.0551833475","0.048730254375","0.0991164605","0.201861286875","0.334185759125","0.483844550375","0.633573986125","0.74961205275","0.77490286","0.747198048375","0.66633522325","0.55611481","0.515376509375","0.453625417125","0.342367767","0.2399266705","0.130791635125","0.0717305135","0.072220089625","0.0711106165","0.0564237555","0.04406981575","0.034338820375","0.024131905","0.0199476655","0.031959565","0.080508880125","0.158719571","0.27342082525","0.37329713425","0.404837298","0.380701860125","0.301260444875","0.2449746955","0.212416374","0.171249841125","0.147545624","0.106569911","0.06894185225","0.067081559875","0.079243052","0.088465240125","0.0825866815","0.067839729875","0.044718869125","0.023968371125","0.018339344625","0.01480157125","0.011895102","0.00728093675","0.0028492375","0.002278506","0.00114014","0.000905527875","0.003018654625","0.00448046275","0.00485416825","0.00631346425","0.006160516625","0.0046971835","0.004262840875","0.004493844625","0.00652653925","0.011148410375","0.014554567875","0.01249335675","0.009858706875","0.006420212375","0.003025567375","0.002646454","0.001360271125","0.0001768945","0.00024528675","0.00027316134375"
"102120_left_com6","0.0465951193398438","0.04825851121875","0.05053123775","0.057441436","0.057978525625","0.05986167125","0.07945719225","0.096773812375","0.137193813125","0.20144800375","0.233746572","0.27710954775","0.311853447375","0.296244552125","0.301917111625","0.281147146625","0.264770268625","0.308408317125","0.329765068375","0.401443116","0.53822366875","0.573904399375","0.50608742025","0.397204204625","0.26230363725","0.258563141375","0.429553654125","0.62336488275","0.7471461355","0.736367798875","0.63745451175","0.573245094625","0.5383751725","0.573246614875","0.644390472375","0.591027918125","0.473396965125","0.4000226165","0.347249314875","0.357849833625","0.42419158075","0.415291336","0.315047197625","0.23182903975","0.176118672875","0.1612570515","0.2247357305","0.2474710165","0.19570873025","0.129547595","0.05450296325","0.015897258375","0.018112999","0.020872588625","0.017098704125","0.01028637325","0.015120133375","0.027030394125","0.03234512375","0.033637752375","0.02664005325","0.028026942875","0.040812569125","0.04339934175","0.043359957125","0.03184743825","0.015763190375","0.01290969825","0.0131414005","0.00876751575","0.005170399125","0.007086920375","0.01157349575","0.01752299075","0.030146867125","0.0367022295","0.030896121375","0.028016882546875"
"102120_right_com1","0.00442006352368164","0.00373053190820312","0.001839221015625","0.013291266125","0.034173360875","0.051589044","0.071813533375","0.079713374625","0.072225060625","0.06867626675","0.06581384","0.06286481425","0.066492440875","0.073234557875","0.10344627425","0.163500940125","0.317216761625","0.4309938385","0.42994649825","0.42311256625","0.333777938875","0.30000852475","0.306847488125","0.236842742875","0.156791202625","0.056245337375","0.00287993524999999","0.00153403675","0.000110646999999999","0.000844956125","0.009683465","0.020360454875","0.026938224","0.031304524875","0.025913795375","0.01872012125","0.014269678625","0.0205934835","0.0444906275","0.064427261875","0.074601206375","0.06924216325","0.042688030625","0.019693395875","0.007834837","0.0023965735","0.002371294125","0.002325394125","0.00197258375","0.00127022175","0.000504710375","0.000108717125","3.20999999999999e-06","0.000136721875","0.000320073375","0.000378323","0.000910190375","0.002758569875","0.004390971625","0.00583758625","0.00719687425","0.0070161925","0.006323442375","0.005107104875","0.005405132625","0.00565281875","0.00474407825","0.004587781125","0.002403488","0.00035235475","0.000148579625","2.68375e-05","2.0975e-05","3.4083375e-05","3.670425e-05","4.751525e-05","6.881375e-05","6.430709375e-05"
"102120_right_com2","0.172722240015137","0.163028141683594","0.16485584996875","0.17123215875","0.124620220125","0.100227498","0.159311417","0.233822154375","0.286983009375","0.329908250125","0.25883574125","0.188957155","0.170823609375","0.133056643875","0.174276702125","0.2384839795","0.276398629625","0.3422999365","0.33030150775","0.221037710125","0.14614283725","0.070943599375","0.01396146975","0.011612502125","0.012133237625","0.009374214875","0.00698950625","0.006950782625","0.007335087","0.0103264745","0.136487776","0.2824355035","0.368906607625","0.474748035125","0.454367233","0.406097627625","0.412535840125","0.42094074175","0.392913649875","0.311197644","0.244776190625","0.164412655625","0.106549239625","0.100068084875","0.072505889625","0.04038286125","0.0242893885","0.0126645015","0.0133662025","0.01177623125","0.00888509075","0.009033126","0.011196844875","0.012910243375","0.02153516225","0.051511914875","0.0964343865","0.1323108525","0.15235060175","0.175719372","0.175870071625","0.16315714875","0.192249381875","0.215775967625","0.26720358975","0.3141795795","0.267616519","0.192662605625","0.09281934775","0.018329265625","0.00521821675","0.00233217425","0.002783248125","0.00345458175","0.005408222875","0.00785624275","0.03097789675","0.05698837709375"
"102120_right_com3","0.0196453949216309","0.0192175336542969","0.023279107484375","0.040991887875","0.069251659625","0.122637468375","0.28091366575","0.4481377125","0.4993742625","0.491556386625","0.395776518","0.28768513675","0.302448943875","0.325070736375","0.307096435875","0.274695261875","0.20356620875","0.14083284","0.096177032125","0.058332819","0.036986261","0.0280282755","0.017734691625","0.011548149625","0.033038271875","0.114220812375","0.1991712055","0.218093602","0.216250029625","0.185208701875","0.167931410875","0.286231459875","0.4088071655","0.436537261625","0.46827052225","0.433541088125","0.375907338375","0.350661262125","0.28904345425","0.2273926095","0.171036176","0.1285817875","0.09286190675","0.049680334","0.0226671435","0.013084440625","0.0109951495","0.00745166","0.006423429875","0.008418094875","0.01071431875","0.015407046375","0.023223798875","0.051828261125","0.092935952875","0.12454087575","0.130697383125","0.111943307875","0.0860746475","0.08233308625","0.110226014125","0.132855798375","0.150698806","0.157737786375","0.135907715125","0.106015635875","0.0743449815","0.035092511375","0.013554236625","0.008005629125","0.00535571975","0.014962105125","0.022030176","0.02269389025","0.02172706875","0.012288822875","0.012648007125","0.020897355140625"
"102120_right_com4","0.0256433801433105","0.0206479470527344","0.019557695671875","0.013532355375","0.00612228225","0.036226047125","0.109882074375","0.161245718","0.188582023875","0.2486995765","0.2626586615","0.24030321","0.234553923875","0.157755778125","0.0716051195","0.040105786375","0.020620881125","0.013363070125","0.0135694115","0.06853816875","0.14046385225","0.17775645275","0.299231947625","0.395727359875","0.378009230125","0.349504658125","0.24045936975","0.121123400375","0.10341618075","0.13900424675","0.182888979875","0.186807876375","0.174378241125","0.156089630875","0.130896898","0.125604592875","0.117921692375","0.099128829","0.09298692825","0.084158990875","0.0729871315","0.09300698925","0.119299944","0.128882172125","0.126275718625","0.11735775675","0.120265167625","0.142823572125","0.172128247125","0.165627277875","0.141272660625","0.169465613625","0.23961370375","0.39910434375","0.57544360375","0.699457424625","0.8041733325","0.755970175125","0.617279282625","0.472103491","0.296048462625","0.185141733125","0.1316263525","0.081232882","0.063153537625","0.0658347905","0.07424897575","0.074856327","0.078356805","0.085609362","0.08093292625","0.1004787365","0.117153212","0.11654830775","0.118303864125","0.13543740775","0.170122685","0.196454412625"
