ID,Offset,Condition,bin,com.raw.distance,com.distance.moving,com.raw.speed,com.speed.moving,com.percentage.moving,ZT,norm_raw_distance,norm_filtered_distance
102120_left_com1,0,cycle,6,108.1308112,44.43571435,0.030036336,0.059725423,20.66666667,6,0.441764803,0.286706687
102120_left_com1,0,cycle,7,113.4124876,53.41830095,0.031503469,0.065303546,22.72222222,7,0.463342915,0.344663844
102120_left_com1,0,cycle,8,72.69010967,16.6536857,0.020191697,0.055604961,8.319444444,8,0.296973005,0.107452375
102120_left_com1,0,cycle,9,34.23303383,0,0.009509176,NA,0,9,0.139857912,0
102120_left_com1,0,cycle,10,65.62324716,3.715490802,0.01822868,0.034724213,2.972222222,10,0.268101576,0.02397297
102120_left_com1,0,cycle,11,151.7902898,89.3280901,0.042163969,0.073855387,33.59722222,11,0.620134139,0.57635983
102120_left_com1,0,cycle,12,106.3268956,35.52829248,0.029535249,0.066408023,14.86111111,12,0.434394966,0.229234506
102120_left_com1,0,cycle,13,54.97185673,5.700504593,0.01526996,0.228020184,0.694444444,13,0.224585677,0.036780612
102120_left_com1,0,cycle,14,52.39640523,2.624362379,0.014554557,0.061031683,1.194444444,14,0.214063756,0.016932827
102120_left_com1,0,cycle,15,85.98753862,27.0788486,0.023885427,0.08878311,8.472222222,15,0.351299205,0.174717276
102120_left_com1,0,cycle,16,63.57778914,20.22828132,0.017660497,0.25933694,2.166666667,16,0.259744925,0.130516266
102120_left_com1,0,cycle,17,102.7172053,12.51941925,0.028532557,0.178848846,1.944444444,17,0.419647698,0.080777394
102120_left_com1,0,cycle,18,149.2510274,53.47131637,0.041458619,0.109460218,13.56944444,18,0.609760067,0.345005908
102120_left_com1,0,cycle,19,243.5612432,54.52674023,0.067655901,0.172826435,8.763888889,19,0.995061291,0.35181568
102120_left_com1,0,cycle,20,219.3530363,77.28095835,0.060931399,0.128480396,16.70833333,20,0.896159474,0.498629714
102120_left_com1,0,cycle,21,166.1351657,78.51341822,0.046148657,0.093357215,23.36111111,21,0.678739648,0.506581752
102120_left_com1,0,cycle,22,133.3512666,42.93309626,0.037042018,0.070266933,16.97222222,22,0.544802127,0.277011543
